issue_id,5121,
pull_request_id ,5178,
reporter,JBeckwith,
report_time,2015/8/7,
fixed_time,2015/8/23,
commit_hash,5c9f1cf058bea591d2b6b854e8c0724bf52c0082,
commit_author,Denis Laxalde,
version,0.15.1,
priority,low,
root_cause,semantic,
component,core,
impact,incorrect functionality,
fix_difficulty,trivial,
lables,scipy.optimize,
affected_files,scipy\optimize\_differentialevolution.py,scipy\cluster\hierarchy.py
description,DOC: made clearer when the jac attribute is created. Fixes #5121,
tool_used,no,
tested,no,
fix_pattern,,
discussion,,
注释描述的功能，函数没能完全实现。修复的方式仅仅是修改了注释。,,
